tempo,spectral_centroid,zero_crossing_rate,rms,spectral_bandwidth,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,filename,mood
143.5546875,1412.773826522182,0.0755615234375,0.26788205,1516.70523235226,0.710648,0.5514361,0.5380692,0.5694913,0.5845113,0.7427663,0.5902516,0.5124999,0.5667242,0.50331396,0.4795508,0.5225658,-56.204037,161.57004,-57.47944,20.54177,12.498002,11.150761,9.774574,7.9316993,2.2822657,7.696911,5.632815,6.6672816,3.5371044,6761.wav,aggressive
143.5546875,1148.6624702542526,0.062287507233796294,0.2584137,1263.4266477028739,0.7105613,0.5446929,0.5389649,0.60240245,0.5921288,0.73577183,0.584008,0.5095389,0.553222,0.4970601,0.47287467,0.5187169,-81.46821,182.53545,-60.732243,23.666233,10.340096,12.188366,10.53719,6.2185664,2.817331,7.3772583,5.98783,6.8329864,4.0340824,6762.wav,aggressive
143.5546875,1067.8591606179634,0.054088451244212965,0.25833747,1234.4619871752127,0.7237353,0.55981684,0.55033255,0.6355213,0.6013076,0.7197746,0.57396007,0.51601744,0.5582053,0.5027156,0.476357,0.5320906,-93.94928,187.01244,-54.021122,23.508202,9.203409,12.125932,10.640311,4.9415917,2.6074083,7.3835564,6.056402,7.1695747,4.7892413,6763.wav,aggressive
143.5546875,1128.5929940629637,0.04993127893518518,0.25690448,1369.76734023019,0.71962583,0.54885715,0.56962365,0.6380613,0.57430935,0.6641399,0.52872425,0.5065351,0.54753673,0.48060954,0.45428956,0.5207583,-87.49349,174.12852,-43.417995,26.823748,4.159854,13.776545,7.394137,5.0541744,1.3084941,7.3823466,5.5169854,7.764492,5.118814,6764.wav,aggressive
143.5546875,1077.7200340446711,0.04710557725694445,0.2496718,1345.8996059778551,0.73256385,0.548935,0.5833534,0.6425531,0.58217376,0.6537749,0.52406996,0.51630586,0.54855376,0.47612253,0.4462147,0.5230423,-96.756584,176.37492,-40.91109,32.740486,2.1082544,12.8110485,7.6189747,4.3012595,2.0154207,6.6138306,5.809652,7.665783,6.0338664,6765.wav,aggressive
143.5546875,1030.9162543869072,0.04311342592592592,0.25090125,1323.3087882763004,0.74337906,0.5749133,0.618154,0.6522694,0.60425836,0.66774815,0.5405921,0.5274377,0.55822605,0.5040399,0.46803185,0.54157054,-106.021935,178.58153,-37.777252,33.450737,4.767623,9.520225,9.5150795,4.0593476,2.3844066,6.9080486,5.4027934,7.9968467,5.913786,6766.wav,aggressive
143.5546875,1103.384790263558,0.042570891203703706,0.25096118,1426.6450988015652,0.7461757,0.59565365,0.6230816,0.6246705,0.5919281,0.65914124,0.53297967,0.53348666,0.56693417,0.5032669,0.46546265,0.5444659,-99.307434,168.8133,-32.940716,34.7518,3.9663732,9.188828,7.369436,5.4472103,1.8634123,7.2846637,4.823409,8.167139,5.9919434,6767.wav,aggressive
143.5546875,1126.5347887004382,0.043294270833333336,0.2475706,1457.5005447523115,0.7312645,0.61789507,0.62088937,0.60090804,0.5852497,0.6483855,0.52065146,0.5365714,0.5750325,0.48501772,0.44529423,0.53328013,-95.48321,164.88864,-33.49272,40.30086,1.0147169,10.408528,5.1654663,5.92741,2.5645733,6.6033053,5.0910215,8.058413,6.536697,6768.wav,aggressive
143.5546875,1346.3531509140867,0.05656602647569445,0.2546451,1636.715451252727,0.74500656,0.66628236,0.5850607,0.5767107,0.57606465,0.6301055,0.5186188,0.5518267,0.5956306,0.48808232,0.447643,0.5370724,-82.96351,154.91692,-29.011276,37.561092,3.2108767,8.778658,5.6690154,5.159152,3.064475,5.9570575,4.737786,7.6012325,6.2888803,6769.wav,aggressive
143.5546875,1641.614375051251,0.06829155815972222,0.26079968,1910.1161858475446,0.74887455,0.69427884,0.5723369,0.5761618,0.58908314,0.63903326,0.5293081,0.56759214,0.61618525,0.51307243,0.47294533,0.5460996,-56.811127,136.47446,-22.39219,32.4081,4.578126,7.872518,4.3270173,5.251313,1.7453219,6.147781,3.6580653,7.53357,5.097937,6770.wav,aggressive
135.99917763157896,1889.4556742191623,0.07991988570601852,0.261623,2168.7269930016396,0.7305477,0.67331237,0.5130932,0.52507067,0.5515502,0.633941,0.5029876,0.53240854,0.5894594,0.4852876,0.43776676,0.50230956,-31.993164,118.015594,-17.332638,29.637217,5.0702357,8.738744,2.2981207,5.5504446,0.72794694,6.0330935,3.534437,8.065657,4.599464,6771.wav,aggressive
143.5546875,2025.7270683804545,0.08681007667824074,0.26686263,2291.8495578955963,0.72707444,0.6589141,0.50824267,0.5257808,0.56748784,0.6507176,0.5019528,0.52501076,0.58921427,0.49515396,0.44948113,0.51058316,-20.867006,109.68453,-16.311945,28.547348,5.650693,9.9736395,1.0960311,5.8057947,0.51706326,5.983994,3.842227,8.09814,4.255135,6772.wav,aggressive
143.5546875,2193.0200090938715,0.09498652705439815,0.26664698,2466.1730681815875,0.72340244,0.6285549,0.49850807,0.5200332,0.57189363,0.68025374,0.50599074,0.5118993,0.57515,0.515192,0.46107516,0.5109628,-9.703978,97.33315,-11.32773,25.501705,7.706727,9.539016,1.0032476,6.0011787,-0.04875441,6.893927,3.7084951,8.098855,3.4570696,6773.wav,aggressive
143.5546875,2062.152964022497,0.0880398220486111,0.2617119,2367.666570018601,0.6996125,0.5612018,0.4880174,0.5447476,0.57858,0.7004825,0.50158924,0.4931317,0.5591731,0.50509614,0.4559108,0.4987711,-15.303835,101.57264,-14.285949,27.64351,7.884048,9.6460085,0.49526766,6.75474,0.07906617,6.825697,4.924227,7.8705435,3.7069244,6774.wav,aggressive
143.5546875,1901.219157486907,0.0810275607638889,0.26184854,2235.9118177759087,0.6899586,0.5272689,0.4745181,0.5442104,0.5571039,0.6793819,0.47439817,0.47151095,0.5327064,0.48111495,0.4470791,0.48932147,-28.17904,108.62129,-18.205374,29.824324,8.943811,11.363979,-0.8472545,7.6210785,0.88519216,7.064394,5.6590066,8.091938,4.5675745,6775.wav,aggressive
143.5546875,1807.558688132482,0.07701506438078703,0.2600891,2160.923625747266,0.68339777,0.5161042,0.47058547,0.57166195,0.60013545,0.65136826,0.4788327,0.52074236,0.5127009,0.47155073,0.47172248,0.48297533,-37.928886,113.80469,-19.46899,27.956457,9.98017,14.565581,-1.8651648,8.226975,0.7502196,7.7419667,6.238491,7.551038,5.073352,6776.wav,aggressive
143.5546875,1749.4393788802688,0.07491048177083333,0.25729898,2125.869948604744,0.666607,0.4805949,0.46770042,0.58587444,0.5873668,0.61266774,0.46973774,0.55877024,0.49687386,0.44331872,0.46029148,0.4637532,-41.980743,118.08116,-18.7041,25.031874,10.761285,13.887913,-1.2559812,8.330345,0.9307445,8.40332,6.7474256,7.331347,4.8486705,6777.wav,aggressive
143.5546875,1703.6071658934964,0.07116473162615741,0.26445964,2090.746522339701,0.66260725,0.4784952,0.50308526,0.57835567,0.55685693,0.56454873,0.4591311,0.5584154,0.49939945,0.45187265,0.48691696,0.46094528,-40.629745,121.71558,-19.80067,21.817472,9.657929,13.850932,-1.0641835,9.030565,1.3628762,8.261437,6.786169,6.775854,4.4221153,6778.wav,aggressive
123.046875,1673.8936693280282,0.09317807798032407,0.14691493,1701.8687829939706,0.647387,0.62614256,0.68661183,0.6799729,0.73519886,0.8630342,0.82952,0.6958115,0.61119944,0.6747946,0.7420597,0.6154381,-214.17906,99.05288,-60.840458,2.3955252,21.87599,10.582603,11.245884,19.931143,11.706062,12.612188,12.507773,9.908679,7.0571003,6799.wav,aggressive
123.046875,1500.754491057684,0.07819959852430555,0.14490229,1621.821499815023,0.61281204,0.5985462,0.6597038,0.6756385,0.7214329,0.84554875,0.8617434,0.6972023,0.5997483,0.64962757,0.74433833,0.6073072,-234.34465,110.58846,-51.118122,-3.0442743,19.157312,13.047658,10.1430235,18.47345,13.2146225,11.812895,12.574454,10.177856,7.3267617,6800.wav,aggressive
123.046875,1432.4941467840836,0.06702564380787036,0.14379415,1643.0241727640719,0.5797549,0.5686827,0.6449023,0.6646046,0.7440906,0.8874024,0.80685455,0.6511836,0.6091382,0.6689729,0.69417137,0.56947047,-248.64655,112.85028,-35.48604,-5.0137205,13.575696,13.74405,8.694893,17.692253,14.796767,11.376578,12.653487,10.968181,7.081951,6801.wav,aggressive
123.046875,1353.5528329024908,0.05803539134837963,0.14275415,1631.0907935003822,0.5403468,0.5493645,0.6050645,0.64423305,0.73634285,0.8635641,0.83912385,0.66322184,0.59653336,0.6375606,0.7047061,0.5713139,-264.2869,113.458984,-21.930527,-5.1799855,7.96922,12.861857,8.414171,17.218098,15.943914,11.128294,12.4630375,11.813137,6.094127,6802.wav,aggressive
123.046875,1356.4248275845557,0.052092375578703706,0.14244501,1699.118530905922,0.5057996,0.5186587,0.56862885,0.6237541,0.74483526,0.8732641,0.8124182,0.64369035,0.60033417,0.6363591,0.6948608,0.54753935,-268.82492,113.19325,-9.81571,-1.5976717,1.755443,11.051951,8.248298,16.393934,16.859407,11.526763,12.020472,12.271636,5.187077,6803.wav,aggressive
117.45383522727273,1343.9407681921784,0.04909035011574074,0.14236479,1714.153864653365,0.4783278,0.49862388,0.53961307,0.6103494,0.7447926,0.8621656,0.80792934,0.63872844,0.59565896,0.6298043,0.6954992,0.5504995,-271.9059,114.004425,-4.042376,0.25572085,-2.3908052,7.820176,8.821515,16.9693,16.830381,11.701154,12.080304,12.325764,4.4880195,6804.wav,aggressive
117.45383522727273,1340.4929615774065,0.0487060546875,0.14264567,1715.9434314940431,0.46556205,0.4835879,0.51147705,0.5970826,0.7562252,0.8524949,0.7897008,0.6261312,0.5860253,0.6333194,0.7118943,0.546052,-267.50488,115.977264,-3.8842175,1.2537172,-5.2059746,4.251767,9.081281,18.034346,16.423399,11.647038,12.206984,11.876091,3.591546,6805.wav,aggressive
117.45383522727273,1316.0703357226212,0.050548412181712965,0.14306673,1672.1023887222493,0.45780683,0.4716586,0.4901946,0.5760386,0.75522274,0.8226507,0.77558035,0.6134585,0.5656038,0.61906195,0.7353421,0.5548234,-261.003,120.190765,-9.563667,-0.81117517,-6.0953646,1.693376,9.928588,18.46866,15.557933,11.478474,12.006988,11.3792925,2.9523745,6806.wav,aggressive
117.45383522727273,1351.2579005587618,0.05283383969907408,0.1443568,1690.550899427527,0.44676468,0.460532,0.47363758,0.56704384,0.75573003,0.81639683,0.7718904,0.59095776,0.54950666,0.61433107,0.73004746,0.53308874,-245.15088,123.57972,-15.952455,-1.2460904,-7.4397244,0.39061257,10.17958,18.15651,14.957554,11.408988,11.551537,10.87146,2.5449626,6807.wav,aggressive
117.45383522727273,1354.23530300335,0.05509892216435185,0.14592601,1667.3636632539458,0.4320625,0.45434588,0.45747522,0.5444281,0.74355125,0.7966518,0.7834023,0.5826571,0.5257497,0.5924783,0.7283063,0.54410934,-231.68385,127.062004,-23.435043,-2.2517092,-8.691863,-0.7922855,10.446795,17.971165,14.113895,11.079929,11.529618,10.557122,2.0598333,6808.wav,aggressive
117.45383522727273,1368.2414951053297,0.05690737123842592,0.14781989,1656.6162604322842,0.4282235,0.4467911,0.44017163,0.4939383,0.7173787,0.77963805,0.8081548,0.6065885,0.5267298,0.55769247,0.7248742,0.62945676,-215.97302,129.47275,-30.768044,-2.7929063,-10.645965,-1.5504682,9.978773,17.913109,13.282658,11.039878,11.330302,9.896055,1.5279592,6809.wav,aggressive
117.45383522727273,1388.8464612965056,0.057963053385416664,0.14882949,1663.8969576115105,0.4163446,0.4425667,0.4246858,0.54207844,0.7706798,0.7551968,0.72470003,0.55270606,0.50409406,0.5928687,0.7583975,0.51357174,-206.27596,129.42126,-36.376057,-4.0325475,-11.598005,-1.8640953,9.743621,18.223917,12.397753,11.577889,11.292744,9.803742,1.3468981,6810.wav,aggressive
117.45383522727273,1527.1128008632402,0.062188042534722224,0.1519738,1780.4591953583063,0.39958006,0.44337353,0.44746968,0.51953894,0.7103192,0.7115563,0.756054,0.5681808,0.48649487,0.557857,0.69906855,0.50212455,-185.29599,121.7124,-38.19194,5.2145977,-4.118061,0.27216133,8.833826,16.605486,9.028453,10.033497,8.942328,7.702085,-0.2443866,6811.wav,aggressive
117.45383522727273,1528.1619974168557,0.060910825376157406,0.15528004,1773.1741686155199,0.39683703,0.44297653,0.5033247,0.5422693,0.6549163,0.65005004,0.6815028,0.5358236,0.48796037,0.6105725,0.68199664,0.47191942,-177.05801,123.1144,-41.150814,12.705267,5.056885,2.273631,8.958854,15.556196,5.9029636,8.040883,6.3515058,4.649098,-1.8238624,6812.wav,aggressive
117.45383522727273,1493.4735169625133,0.056812427662037035,0.1579937,1753.8385437119518,0.402004,0.45160976,0.497451,0.5196089,0.6343647,0.6146844,0.6313529,0.50528777,0.46631065,0.5719559,0.6201194,0.47104543,-174.77605,126.157715,-40.512596,17.687805,14.991121,5.395112,8.465781,14.51981,3.0256877,5.452292,3.5491853,1.1640834,-3.3103085,6813.wav,aggressive
117.45383522727273,1411.9877234525813,0.05095531322337963,0.16051476,1697.4713899169528,0.3816093,0.42316326,0.4825495,0.5103126,0.6265517,0.5723884,0.570379,0.47378096,0.47759992,0.58632636,0.56759137,0.4502934,-179.72096,132.2533,-36.5406,20.698757,26.372852,9.191029,7.65506,12.511394,-0.41647565,1.2603483,0.4374452,-1.9962671,-4.8616323,6814.wav,aggressive
